Wavelength	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity
nm	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.
Wavelength	5 K	20 K	35 K	50 K	65 K	80 K	95 K	110 K	125 K	140 K	155 K	170 K	185 K	200 K	215 K	230 K	245 K	260 K	275 K	290 K
395	390143.594	378344.969	239718.297	77909.8594	45611.1797	33077.4766	14534.9336	5750.24658	2458.73828	1461.41345	1052.02161	842.104187	838.367615	739.292236	722.598511	705.442444	683.10321	710.800354	637.608765	630.812195
396	375119.031	360986.375	225903.891	73106.6797	43843.125	31990.209	14060.7676	5529.41357	2436.20435	1418.9436	1050.4906	879.90155	832.826294	725.77301	781.884644	717.950623	708.882813	649.488586	628.106018	623.459595
397	357740.031	349360.75	213527.859	68549.9609	41435.8086	30043.7656	13544.2139	5161.82959	2411.29712	1420.28162	1084.53125	955.808655	848.101501	770.440979	754.951233	729.690735	727.779724	653.608032	648.38092	640.39093
398	346946.344	334832.969	203915.734	65757.8516	39010.707	27918.2129	12859.9521	4947.66162	2298.7605	1369.52734	1039.04028	923.150208	824.167175	781.540161	791.620422	783.543884	726.830933	729.839539	685.456482	661.137939
399	332539.844	316810.781	191762.328	61194.4492	36773.9336	27096.8516	12087.3994	4786.88037	2229.05762	1345.27881	1066.49304	932.842468	859.728333	825.848694	779.66156	784.697144	715.710571	751.347229	680.903381	675.730286
400	318409.844	306684.031	180161.031	57272.4688	34407.0781	25290.1895	11364.4121	4502.31006	2163.14014	1371.61096	1021.21674	899.241882	814.954773	809.338013	775.623657	782.564819	768.625854	724.000305	698.659668	700.981873
401	309000	293108.031	172184.141	54736.2031	32128.7578	23323.457	10669.7393	4429.16504	2054.0354	1264.61523	1057.27441	918.197388	880.620239	802.277161	815.20459	810.453308	782.875549	728.706665	721.424194	722.732605
402	298109.531	279383.813	161217.438	50929.3477	30529.4141	22506.8027	10368.3994	4334.86035	2033.2959	1377.16223	1023.91119	941.86377	904.970947	834.740051	856.155579	808.23114	818.558838	799.179626	764.236511	748.10199
