Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/mole-K),Samp HC Err (J/mole-K),Addenda HC (J/mole-K),Addenda HC Err (J/mole-K),Total HC (J/mole-K),Total HC Err (J/mole-K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/mole-K/K),Addenda Offset HC (J/mole-K)
3893943.75,CALFILE: Puck3243.cal - Addenda #33 measured on 5/12/2025 from 2.0144 to 322.48 K
3893943.86,,5905,,320,-0.305,9.1E-6,321.93828,5.4708442,352.88321,2.136,11107.56,16.11,17821.085,19.73,1.43977,56.031499,2.5605721,82.863725,101.8228,2E4,1,,,,0.00032785,112.016,103644.25,1.0961207,0
3894640.3,,5905,,316.321,-0.305,9.2E-6,318.21931,5.3286855,351.88302,2.325,11143.39,19.19,17837.887,26.5,0.2671558,56.929399,2.6725021,82.436156,-132.01483,179.3,1,,,,0.00032321,112.063,101263.53,1.1057878,0
3895339.61,,5905,,312.636,-0.305,9.2E-6,314.5334,5.2700159,348.72372,2.392,11152.589,21.54,17786.981,28.96,0.20504705,57.712126,2.7235976,82.327566,52.532569,32.68,1,,,,0.00031788,113.8588,98931.258,1.1087017,0
3896044.23,,5905,,308.949,-0.305,9.3E-6,310.83629,5.2094983,345.82297,2.389,11136.697,23.24,17715.903,29.23,0.25150254,58.534091,2.7817566,82.199389,137.30691,135.5,1,,,,0.00031216,115.4243,96619.196,1.1125566,0
3896758.08,,5905,,305.266,-0.305,9.1E-6,307.13491,5.149902,345.35635,2.436,11096.801,24.31,17667.13,30.64,0.21253621,59.616307,2.8400685,82.167718,144.79795,98.48,1,,,,0.0003057,117.0682,94331.856,1.1244451,0
3897478.02,,5905,,301.577,-0.305,9.4E-6,303.44284,5.1073252,344.86743,2.466,11034.27,24.8,17595.296,31.56,0.19294281,60.428697,2.8395699,82.393006,151.94887,85.5,1,,,,0.00030027,119.2326,92077.557,1.1365153,0
3898206.78,,5905,,297.897,-0.305,9.3E-6,299.74848,5.0446549,346.99538,2.468,10950.26,24.75,17551.771,31.39,0.2024942,61.533481,2.8744311,82.521544,106.91482,97.94,1,,,,0.00029422,120.8574,89849.152,1.1576218,0
3898943.11,,5905,,294.213,-0.305,9.1E-6,296.04462,5.0024609,352.27041,2.466,10845.851,24.2,17547.718,30.73,0.18526258,63.025026,2.871011,82.967317,44.479152,2.214E6,1,,,,0.00028717,123.067,87642.42,1.1899233,0
3899693.5,,5905,,290.532,-0.305,9.2E-6,292.34559,4.966946,356.75628,2.476,10722.256,23.19,17509.465,30.48,0.19365015,64.097154,2.8644986,83.309819,,,1,,,,0.00028179,126.0501,85465.943,1.2203238,0
3900448.58,,5905,,286.846,-0.305,9.2E-6,288.64875,4.9368553,356.27128,2.431,10581.001,21.75,17358.983,29.2,0.21969655,64.847632,2.8473092,83.596071,-61.518707,223.3,1,,,,0.00027608,128.1943,83318.1,1.2342727,0
3901212,,5905,,283.16,-0.305,9.2E-6,284.95046,4.8977017,353.75516,2.353,10424.273,19.97,17154.387,27.11,0.25294056,65.302193,2.763986,84.141715,73.93627,7.442,1,,,,0.00027066,129.6953,81196.767,1.2414619,0
3901975.94,,5905,,279.477,-0.305,9.2E-6,281.24991,4.8522898,351.14321,2.27,10256.275,17.95,16936.697,24.8,0.23287222,65.697301,2.6503091,84.829052,139.66355,8028,1,,,,0.00026528,130.6044,79101.514,1.2485096,0
3902741.67,,5905,,275.791,-0.305,9.1E-6,277.55276,4.806911,349.477,2.235,10081.921,15.81,16730.644,23.87,0.1509919,66.306966,2.5461015,85.5137,36.297648,793.8,1,,,,0.00025935,131.3946,77035.532,1.2591372,0
3903514.95,,5905,,272.106,-0.305,9.3E-6,273.85192,4.7692579,349.01072,2.177,9905.4888,13.66,16545.341,21.92,0.13736791,67.206767,2.4668306,86.123587,29.060739,211.8,1,,,,0.00025282,132.6139,74994.876,1.2744505,0
3904296.39,,5905,,268.421,-0.305,9.2E-6,270.1594,4.7315949,350.05653,2.145,9731.608,11.62,16391.356,20.59,0.11797136,68.06326,2.3899444,86.70691,,,1,,,,0.00024715,134.4135,72986.104,1.2957407,0
3905082.73,,5905,,264.74,-0.305,9.1E-6,266.46958,4.6895986,350.56053,2.112,9564.804,9.819,16234.141,19.22,0.11050523,68.780411,2.3091507,87.270199,-77.857659,773.7,1,,,,0.00024205,136.1265,71006.037,1.3155743,0
3905875.77,,5905,,261.055,-0.305,9.3E-6,262.77615,4.6395631,350.93721,2.086,9408.971,8.353,16085.474,18.1,0.10833077,69.622022,2.2488696,87.738395,,,1,,,,0.00023679,137.5608,69051.303,1.3354987,0
3906677.3,,5905,,257.371,-0.305,9.2E-6,259.07407,4.5902315,351.28307,2.085,9268.3467,7.335,15951.43,17.97,0.10183206,70.588749,2.2161988,88.076039,-107.24678,1.55E4,1,,,,0.00023153,139.244,67119.375,1.3559175,0
3907486.83,,5905,,253.681,-0.305,9.2E-6,255.3851,4.5400985,351.09515,2.057,9141.7159,6.756,15821.224,16.78,0.11403866,71.434091,2.188105,88.360557,-4206664.8,4.221E6,1,,,,0.00022685,141.1775,65221.548,1.3747676,0
3908305.3,,5905,,250.001,-0.305,9.3E-6,251.6875,4.4867493,350.40387,2.042,9023.2004,6.525,15689.557,16.28,0.11372909,72.343369,2.1625282,88.633333,-0.081660513,148.9,1,,,,0.00022206,142.8682,63346.6,1.392218,0
3909332.39,,5905,,249.999,-0.305,9.1E-6,251.9495,5.035305,351.52097,1.94,9030.4063,6.531,15718.015,10.47,0.96356796,72.818962,2.2195845,88.427743,174.00375,6961,1,,,,0.00022113,171.069,63478.551,1.3952041,0
3910376.34,,5905,,237.711,-0.305,9.1E-6,239.37341,4.3364474,349.37314,2.022,8621.0348,7.135,15267.782,15.59,0.12473517,75.271694,2.1219074,89.276396,9.2415025,3022,1,,,,0.00020759,145.6379,57299.629,1.4595319,0
3911423.73,,5905,,226.026,-0.305,9.3E-6,227.63981,4.1673266,351.36323,2.034,8105.5817,7.575,14790.19,15.7,0.1197749,78.104426,2.0430404,90.044314,179.03895,76.36,1,,,,0.00019376,150.5434,51819.884,1.5435052,0
3912496.61,,5905,,214.907,-0.305,9.2E-6,216.48462,4.0052312,346.32277,2.035,7525.5139,7.239,14114.228,16.82,0.22524683,80.27167,2.4993389,88.286181,88.248874,67.97,1,,,,0.00018108,156.2089,46865.589,1.5997569,0
3913586.53,,5905,,204.348,-0.305,9.1E-6,205.87581,3.8619202,341.09746,1.973,7002.1473,6.678,13491.451,15.18,0.23534299,82.1842,2.4930743,88.56402,141.49563,25.37,1,,,,0.00016922,160.5433,42384.851,1.6568117,0
3914692.86,,5905,,194.298,-0.305,9.2E-6,195.75844,3.6908009,337.65864,1.961,6550.9877,6.145,12974.869,15.38,0.21208479,84.521027,2.5958775,88.405021,161.1391,19.75,1,,,,0.00015861,164.3684,38321.367,1.724874,0
3915856.38,,5905,,184.745,-0.305,9.2E-6,186.11426,3.5166341,333.61397,1.927,6137.3368,5.723,12484.269,14.73,0.26085544,86.708607,2.7754604,87.898701,178.78573,15.73,1,,,,0.00014928,169.0421,34638.517,1.7925224,0
3917052.09,,5905,,175.663,-0.305,9.2E-6,176.95045,3.3631752,329.17722,1.929,5742.9992,5.399,12005.523,15.76,0.24617102,88.59644,3.0130695,87.115524,193.54767,13.39,1,,,,0.00014116,173.4172,31311.46,1.8602791,0
3918263.7,,5905,,167.027,-0.305,9.2E-6,168.24845,3.2161721,325.15679,1.919,5358.5908,5.11,11544.627,16.17,0.28790457,90.534804,3.2223805,86.445113,202.53803,11.73,1,,,,0.00013348,177.1929,28307.54,1.9325991,0
3919580.67,,5905,,158.816,-0.305,9.1E-6,159.98283,3.0653372,320.64312,1.84,4984.2995,4.817,11084.464,13.56,0.4983389,92.949959,3.808654,84.344643,210.92752,9.68,1,,,,0.00012626,181.0696,25594.507,2.0042345,0
3920916.75,,5905,,151.007,-0.305,9.3E-6,152.12442,2.8894776,315.54303,1.751,4624.8326,4.503,10627.969,10.02,0.10017472,95.581675,5.1257345,79.492326,218.97808,7.825,1,,,,0.00012091,185.8999,23141.839,2.0742431,0
3922276.69,,5905,,143.584,-0.305,9.2E-6,144.64237,2.7333234,309.97715,1.716,4282.11,4.225,10179.357,9.598,0.070646881,98.570883,6.2355796,75.537755,226.18156,6.841,1,,,,0.00011535,191.1634,20921.414,2.1430592,0
3923764.52,,5905,,136.523,-0.305,9.1E-6,137.55095,2.619428,305.15988,1.708,3957.8658,4.09,9763.4654,10.63,0.063812604,100.20318,6.6473391,73.800622,229.18077,6.318,1,,,,0.00011066,197.1418,18920.265,2.2185225,0
3925267.38,,5905,,129.812,-0.305,9.3E-6,130.80601,2.4957742,300.5194,1.713,3650.657,4.027,9367.9724,12.12,0.11229213,101.89335,6.9533183,72.329665,230.37725,5.947,1,,,,0.00010616,200.4064,17110.213,2.2974433,0
