Time (s),VTI Temp (K),Probe Temp (K),Sample Temp (K),Field (Oe),Thermal Conductivity (W/m/K),DeltaV_Nernst (V),DeltaT (K),DeltaT1 (K),DeltaT2 (K),Heater_Curr (A),Heater_Resis (ohm),Heater Power (W),Sample T Heating (K)
3839837466,293.545959,299.999969,298.318298,300,0.580999573,0,0.192527386,-0.348380504,-0.155853118,0.0005,997.334473,0.000249334,298.318298
3839838461,293.543243,299.999695,298.295197,300,0.585030725,0,2.957308977,-0.347020578,2.6102884,0.001968019,995.7018749,0.003856452,298.295197
3839839667,293.540466,300.000122,298.384766,300,0.585464492,0,2.981615128,-0.335987551,2.645627577,0.001976839,995.6856286,0.003891031,298.384766
3839842686,274.855682,279.996765,278.974884,300,0.505684364,0,3.455179314,-0.353762825,3.101416488,0.001977675,995.7557448,0.003894598,278.974884
3839843851,274.296112,279.998962,278.89975,300,0.520672439,0,2.707891251,-0.29443965,2.413451601,0.00177693,995.3315254,0.003142739,278.89975
3839844794,274.014832,279.999512,278.859253,300,0.508091676,0,2.857726487,-0.338883921,2.518842565,0.001803313,995.2516294,0.003236497,278.859253
3839847800,255.266876,259.997253,259.176514,300,0.427929639,0,3.312027656,-0.365778084,2.946249572,0.00178136,995.5781584,0.003159212,259.176514
3839849231,254.628815,259.998444,259.087891,300,0.440806553,0,2.513995374,-0.308371664,2.20562371,0.001575638,994.9753726,0.00247016,259.087891
3839850277,254.368408,259.998199,259.051453,300,0.430865721,0,2.650658153,-0.351517033,2.29914112,0.001599516,995.0177922,0.002545706,259.051453
3839853501,235.646118,239.997696,239.29834,300,0.380834644,0,2.931480268,-0.381221075,2.550259193,0.001581256,995.2479901,0.00248849,239.29834
3839854877,235.07222,239.99823,239.21991,300,0.39589333,0,2.300633913,-0.316159692,1.984474222,0.001428506,994.8870892,0.002030197,239.21991
3839855919,234.827698,239.998657,239.184448,300,0.385013941,0,2.45949342,-0.362478679,2.097014741,0.001456616,994.8194327,0.002110739,239.184448
3839859221,216.286636,219.995743,219.348068,300,0.339995055,0,2.708974987,-0.399866898,2.309108089,0.001436434,994.9903976,0.002053005,219.348068
3839860551,215.802139,219.998779,219.284912,300,0.356802984,0,2.088839902,-0.32532179,1.763518111,0.001292445,994.5397735,0.001661293,219.284912
3839861599,215.57547,219.999176,219.25058,300,0.344916509,0,2.268713923,-0.376594747,1.892119176,0.00132419,994.7304694,0.00174424,219.25058
3839864986,196.995056,200.002045,199.463013,300,0.307949412,0,2.455788443,-0.42450804,2.031280403,0.001301745,994.7890454,0.00168571,199.463013
3839866398,196.707901,199.998611,199.432495,300,0.324122566,0,1.90369704,-0.346623806,1.557073234,0.001173138,999.3585409,0.00137537,199.432495
3839867449,196.509048,200.000076,199.405655,300,0.313676213,0,2.051108751,-0.397825543,1.653283208,0.001200706,994.7392922,0.001434111,199.405655
3839870880,177.389191,180.000031,179.465683,300,0.282536385,0,2.225147109,-0.452319763,1.772827346,0.001183871,999.8549981,0.001401347,179.465683
3839872324,177.397461,180.001724,179.467438,300,0.300535452,0,1.687121281,-0.378699091,1.30842219,0.001063232,999.7661357,0.001130198,179.467438
3839873369,177.345261,180.000153,179.464417,300,0.288062539,0,1.872566155,-0.427254156,1.445311999,0.00109662,999.8260786,0.001202365,179.464417
3839876891,157.807663,160.000565,159.567261,300,0.263671587,0,1.961889868,-0.4871497,1.474740167,0.001073557,1000.460909,0.001153056,159.567261
3839878261,157.790573,160.000183,159.568924,300,0.280100028,0,1.502012452,-0.424215838,1.077796614,0.000968215,1000.35806,0.000937776,159.568924
3839879304,157.784912,159.999725,159.567871,300,0.268656415,0,1.663733008,-0.465638387,1.198094621,0.000997968,1000.36893,0.000996307,159.567871
3839882938,138.1689,140.000626,139.667343,300,0.251328846,0,1.707299139,-0.530232958,1.17706618,0.00097737,1001.25959,0.000956455,139.667343
